image_index,category,img_url,year,decade,num_persons,gender,age,body display
2338,politics,https://api.time.com/wp-content/uploads/2014/11/15501989-e1426779424372.jpg,1961,1960s,1,male,Young Adult,portrait
2339,politics,https://api.time.com/wp-content/uploads/2014/11/15502004-e1518734541609.jpg,1962,1960s,1,male,Young Adult,portrait
2340,politics,https://api.time.com/wp-content/uploads/2014/11/15502018.jpg,1962,1960s,1,male,Young Adult,portrait
2341,politics,https://api.time.com/wp-content/uploads/2014/11/15502058.jpg,1963,1960s,1,male,Senior,portrait
2342,politics,https://api.time.com/wp-content/uploads/2014/11/15502063.jpg,1963,1960s,1,male,Young Adult,waist-up
2344,politics,https://api.time.com/wp-content/uploads/2014/11/15502088-e1537990311911.jpg,1963,1960s,1,male,Middle-Aged,portrait
2345,politics,https://api.time.com/wp-content/uploads/2014/11/15502095.jpg,1963,1960s,1,male,Middle-Aged,portrait
2346,politics,https://api.time.com/wp-content/uploads/2014/11/15502102-e1415653993591.jpg,1964,1960s,1,male,Middle-Aged,portrait
2349,politics,https://api.time.com/wp-content/uploads/2014/11/15502141.jpg,1964,1960s,1,male,Young Adult,portrait
2350,politics,https://api.time.com/wp-content/uploads/2014/11/15502142-e1563986708716.jpg,1964,1960s,1,male,Senior,face
2354,politics,https://api.time.com/wp-content/uploads/2014/11/15502207.jpg,1965,1960s,1,male,Middle-Aged,portrait
2357,politics,https://api.time.com/wp-content/uploads/2014/11/15502225.jpg,1966,1960s,1,male,Young Adult,portrait
2358,politics,https://api.time.com/wp-content/uploads/2014/11/15502226.jpg,1966,1960s,1,male,Senior,portrait
2359,politics,https://api.time.com/wp-content/uploads/2014/11/15502276.jpg,1967,1960s,1,male,Middle-Aged,portrait
2363,politics,https://api.time.com/wp-content/uploads/2014/11/15502332-e1426779413328.jpg,1968,1960s,1,male,Young Adult,portrait
2367,politics,https://api.time.com/wp-content/uploads/2014/11/15502378.jpg,1969,1960s,1,male,Middle-Aged,face
2368,politics,https://api.time.com/wp-content/uploads/2014/11/15502382.jpg,1969,1960s,1,male,Senior,portrait
2369,politics,https://api.time.com/wp-content/uploads/2014/11/15502387-e1427747519582.jpg,1969,1960s,1,male,Young Adult,portrait
2389,politics,https://api.time.com/wp-content/uploads/2014/11/15502425.jpg,1970,1970s,1,male,Young Adult,portrait
2390,politics,https://api.time.com/wp-content/uploads/2014/11/15502431-e1421422971215.jpg,1970,1970s,1,male,Young Adult,face
2395,politics,https://api.time.com/wp-content/uploads/2014/11/15503657.jpg,1994,1990s,1,male,Middle-Aged,portrait
2397,politics,https://api.time.com/wp-content/uploads/2014/11/15503964-e1571761979923.jpg,2000,2000s,1,male,Young Adult,portrait
2398,politics,https://api.time.com/wp-content/uploads/2016/09/time_20060522.jpg,2006,2000s,1,male,Middle-Aged,portrait
2403,politics,https://api.time.com/wp-content/uploads/2014/11/15504518.jpg,2013,2010s,1,male,Young Adult,face
2404,politics,https://api.time.com/wp-content/uploads/2014/08/ferguson-cover.jpg,2014,2010s,1,male,Young Adult,full body
2408,politics,https://api.time.com/wp-content/uploads/2016/09/kaepernick-final.jpg,2016,2010s,1,male,Young Adult,full body
2411,politics,https://api.time.com/wp-content/uploads/2020/02/MLK.FINAL_.Cover_.jpg,2020,2010s,1,male,Young Adult,portrait
2412,politics,https://api.time.com/wp-content/uploads/2020/06/TIM200615_Floyd.Cover_..jpg,2020,2010s,1,female,Middle-Aged,waist-up
2413,politics,https://api.time.com/wp-content/uploads/2020/07/Final.John_.Lewis_.Cover3_.jpg,2020,2010s,1,male,Young Adult,waist-up
2429,politics,https://api.time.com/wp-content/uploads/2014/11/15502619-e1415654195468.jpg,1974,1970s,1,male,Young Adult,portrait
2434,politics,https://api.time.com/wp-content/uploads/2014/11/15503258-e1564069682768.jpg,1986,1980s,1,male,Middle-Aged,portrait
2437,politics,https://api.time.com/wp-content/uploads/2014/11/15503445-e1417636872952.jpg,1990,1990s,1,male,Middle-Aged,portrait
2441,politics,https://api.time.com/wp-content/uploads/2014/11/15503621-e1421874403460.jpg,1993,1990s,1,female,Young Adult,face
2443,politics,https://api.time.com/wp-content/uploads/2014/11/15503865-e1521753514312.jpg,1998,1990s,1,female,Young Adult,face
2444,politics,https://api.time.com/wp-content/uploads/2014/11/15503896-e1428942623609.jpg,1998,1990s,1,male,Young Adult,portrait
2448,politics,https://api.time.com/wp-content/uploads/2014/11/15504305.jpg,2007,2000s,1,male,Middle-Aged,portrait
2449,politics,https://api.time.com/wp-content/uploads/2014/11/15504470.jpg,2012,2010s,1,male,Young Adult,portrait
2452,politics,https://api.time.com/wp-content/uploads/2014/11/15504502.jpg,2013,2010s,1,male,Young Adult,face
2479,politics,https://api.time.com/wp-content/uploads/2014/11/15502550-e1420580620765.jpg,1972,1970s,1,male,Young Adult,portrait
2482,politics,https://api.time.com/wp-content/uploads/2014/11/15502588-e1433362566231.jpg,1973,1970s,1,male,Middle-Aged,portrait
2485,politics,https://api.time.com/wp-content/uploads/2014/11/15502623.jpg,1974,1970s,1,male,Middle-Aged,face
2487,politics,https://api.time.com/wp-content/uploads/2014/11/15502706-e1505425657886.jpg,1975,1970s,1,female,Young Adult,face
2488,politics,https://api.time.com/wp-content/uploads/2014/11/15502708-e1442527399334.jpg,1975,1970s,1,female,Young Adult,portrait
2493,politics,https://api.time.com/wp-content/uploads/2014/11/15502988.jpg,1981,1980s,1,male,Middle-Aged,waist-up
2495,politics,https://api.time.com/wp-content/uploads/2014/11/15503090.jpg,1983,1980s,1,male,Young Adult,waist-up
2496,politics,https://api.time.com/wp-content/uploads/2014/11/15503092.jpg,1983,1980s,1,male,Young Adult,portrait
2499,politics,https://api.time.com/wp-content/uploads/2014/11/15503197.jpg,1985,1980s,1,male,Young Adult,full body
2500,politics,https://api.time.com/wp-content/uploads/2014/11/15503207-e1425506759822.jpg,1985,1980s,1,male,Young Adult,portrait
2502,politics,https://api.time.com/wp-content/uploads/2014/11/15503271-e1416332466499.jpg,1986,1980s,1,male,Young Adult,waist-up
2503,politics,https://api.time.com/wp-content/uploads/2014/11/15503299-e1425507037835.jpg,1987,1980s,1,male,Young Adult,portrait
2504,politics,https://api.time.com/wp-content/uploads/2014/11/15503354.jpg,1988,1980s,1,male,Young Adult,portrait
2505,politics,https://api.time.com/wp-content/uploads/2014/11/15503357.jpg,1988,1980s,1,male,Young Adult,portrait
2506,politics,https://api.time.com/wp-content/uploads/2014/11/15503416.jpg,1989,1980s,1,female,Young Adult,portrait
2510,politics,https://api.time.com/wp-content/uploads/2014/11/15503515.jpg,1991,1990s,1,female,Young Adult,waist-up
2512,politics,https://api.time.com/wp-content/uploads/2014/11/15503615.jpg,1993,1990s,1,male,Young Adult,face
2513,politics,https://api.time.com/wp-content/uploads/2014/11/15503628-e1417636995737.jpg,1993,1990s,1,male,Young Adult,waist-up
2514,politics,https://api.time.com/wp-content/uploads/2014/11/15503637.jpg,1993,1990s,1,male,Young Adult,portrait
2517,politics,https://api.time.com/wp-content/uploads/2014/11/15503717.jpg,1995,1990s,1,male,Young Adult,portrait
2523,politics,https://api.time.com/wp-content/uploads/2014/11/15503872.jpg,1998,1990s,1,male,Young Adult,waist-up
2530,politics,https://api.time.com/wp-content/uploads/2014/11/15504026.jpg,2001,2000s,1,male,Young Adult,portrait
2531,politics,https://api.time.com/wp-content/uploads/2014/11/15504042.jpg,2001,2000s,1,male,Young Adult,portrait
2536,politics,https://api.time.com/wp-content/uploads/2014/11/15504420.jpg,2010,2010s,1,male,Young Adult,portrait
2538,politics,https://api.time.com/wp-content/uploads/2014/11/15504454.jpg,2012,2010s,1,male,Middle-Aged,portrait
2541,politics,https://api.time.com/wp-content/uploads/2014/11/15504499.jpg,2013,2010s,1,male,Young Adult,full body
2548,politics,https://api.time.com/wp-content/uploads/2014/07/zero-cover.jpg,2014,2010s,1,male,Young Adult,full body
2583,politics,https://api.time.com/wp-content/uploads/2014/11/15502433.jpg,1970,1970s,1,male,Senior,portrait
2585,politics,https://api.time.com/wp-content/uploads/2014/11/15502483.jpg,1971,1970s,1,male,Young Adult,waist-up
2586,politics,https://api.time.com/wp-content/uploads/2014/11/15502525-e1520891839881.jpg,1972,1970s,1,male,Young Adult,waist-up
2591,politics,https://api.time.com/wp-content/uploads/2014/11/15502788.jpg,1977,1970s,1,male,Young Adult,full body
2593,politics,https://api.time.com/wp-content/uploads/2014/11/15502937.jpg,1980,1980s,1,male,Young Adult,portrait
2594,politics,https://api.time.com/wp-content/uploads/2014/11/15502940.jpg,1980,1980s,1,male,Young Adult,portrait
2598,politics,https://api.time.com/wp-content/uploads/2014/11/15502982.jpg,1981,1980s,1,male,Young Adult,portrait
2599,politics,https://api.time.com/wp-content/uploads/2014/11/15503011-e1505940435560.jpg,1981,1980s,1,male,Middle-Aged,portrait
2604,politics,https://api.time.com/wp-content/uploads/2014/11/15503091.jpg,1983,1980s,1,male,Middle-Aged,portrait
2606,politics,https://api.time.com/wp-content/uploads/2014/11/15503140.jpg,1984,1980s,1,male,Young Adult,portrait
2609,politics,https://api.time.com/wp-content/uploads/2014/11/15503307.jpg,1987,1980s,1,male,Middle-Aged,portrait
2613,politics,https://api.time.com/wp-content/uploads/2014/11/15503606.jpg,1993,1990s,1,male,Young Adult,portrait
2619,politics,https://api.time.com/wp-content/uploads/2014/11/15503870.jpg,1998,1990s,1,male,Young Adult,portrait
2621,politics,https://api.time.com/wp-content/uploads/2014/11/15504129.jpg,2003,2000s,1,male,Young Adult,portrait
2628,politics,https://api.time.com/wp-content/uploads/2014/11/15504364.jpg,2009,2000s,1,female,Young Adult,portrait
2632,politics,https://api.time.com/wp-content/uploads/2014/11/15504399.jpg,2010,2010s,1,male,Young Adult,portrait
2635,politics,https://api.time.com/wp-content/uploads/2014/11/15504436.jpg,2011,2010s,1,male,Young Adult,portrait
2644,politics,https://api.time.com/wp-content/uploads/2014/02/time-cover-yellen.jpg,2014,2010s,1,female,Senior,portrait
2645,politics,https://api.time.com/wp-content/uploads/2014/02/cover_0224.jpg,2014,2010s,1,male,Young Adult,portrait
2649,politics,https://api.time.com/wp-content/uploads/2019/08/tim190902v1_waitress.cover6_.jpg,2019,2010s,1,male,Young Adult,waist-up
2676,politics,https://api.time.com/wp-content/uploads/2014/11/15502947-e1418756858458.jpg,1980,1980s,1,male,Young Adult,full body
2678,politics,https://api.time.com/wp-content/uploads/2014/11/15502991-e1426779683255.jpg,1981,1980s,1,male,Young Adult,portrait
2680,politics,https://api.time.com/wp-content/uploads/2014/11/15503401.jpg,1989,1980s,1,male,Young Adult,full body
2683,politics,https://api.time.com/wp-content/uploads/2014/11/15503773.jpg,1996,1990s,1,female,Youth,face
2685,politics,https://api.time.com/wp-content/uploads/2014/11/15503895-e1563987364595.jpg,1998,1990s,1,male,Youth,portrait
2686,politics,https://api.time.com/wp-content/uploads/2014/11/15503908.jpg,1999,1990s,1,female,Young Adult,portrait
2693,politics,https://api.time.com/wp-content/uploads/2014/11/15504249.jpg,2006,2000s,1,female,Young Adult,waist-up
2698,politics,https://api.time.com/wp-content/uploads/2014/11/15504353.jpg,2008,2000s,1,female,Young Adult,full body
2700,politics,https://api.time.com/wp-content/uploads/2014/11/15504401.jpg,2010,2010s,1,male,Youth,full body
2702,politics,https://api.time.com/wp-content/uploads/2014/11/15504520.jpg,2013,2010s,1,male,Young Adult,full body
2713,politics,https://api.time.com/wp-content/uploads/2014/11/15503455.jpg,1990,1990s,1,male,Young Adult,portrait
2726,politics,https://api.time.com/wp-content/uploads/2019/01/0204intcover.jpg,2019,2010s,1,female,Young Adult,waist-up
2742,politics,https://api.time.com/wp-content/uploads/2014/11/15502498.jpg,1971,1970s,1,male,Senior,face
2750,science,https://api.time.com/wp-content/uploads/2014/11/155025.jpg,1923,1920s,1,male,Young Adult,portrait
2751,science,https://api.time.com/wp-content/uploads/2014/11/155033.jpg,1923,1920s,1,male,Young Adult,portrait
